uptime, sync, seq, step, SWPMON, adc
92436961, 0xAAAA, 29579, 0005, 1.59802, 4.8471809
92440099, 0xAAAA, 29580, 0006, 1.99612, 4.8412299
92443209, 0xAAAA, 29581, 0006, 2.39582, 4.8607614
92446327, 0xAAAA, 29582, 0007, 2.39341, 4.8325322
92449452, 0xAAAA, 29583, 0007, 2.39582, 4.8638132
92452577, 0xAAAA, 29584, 0007, 2.58117, 4.8545052
92455702, 0xAAAA, 29585, 0007, 2.58520, 4.8452735
92458827, 0xAAAA, 29586, 0006, 2.58037, 4.8648051
92461952, 0xAAAA, 29587, 0006, 2.58278, 4.8444343
92465090, 0xAAAA, 29588, 0005, 2.39260, 4.8556497
92468220, 0xAAAA, 29589, 0005, 1.99451, 4.8462654
92471338, 0xAAAA, 29590, 0004, 1.99773, 4.8493935
92474464, 0xAAAA, 29591, 0004, 1.99692, 4.8593881
92477588, 0xAAAA, 29592, 0003, 1.60044, 4.8419928
92480713, 0xAAAA, 29593, 0003, 1.60044, 4.8456550
92483838, 0xAAAA, 29594, 0002, 1.19993, 4.8512245
92486972, 0xAAAA, 29595, 0002, 1.20073, 4.8545815
92490082, 0xAAAA, 29596, 0001, 0.80183, 4.8651102
92493209, 0xAAAA, 29597, 0001, 0.40293, 4.8382544
92496327, 0xAAAA, 29598, 0000, 0.40374, 4.8638132
92499452, 0xAAAA, 29599, 0000, 0.40696, 4.8495460
92502599, 0xAAAA, 29600, 0000, 0.01773, 4.8429847
92505702, 0xAAAA, 29601, 0000, 0.01692, 4.8618296
92508830, 0xAAAA, 29602, 0001, 0.01853, 4.8443580
92511960, 0xAAAA, 29603, 0001, 0.02015, 4.8590829
92515091, 0xAAAA, 29604, 0002, 0.40454, 4.8519875
92518218, 0xAAAA, 29605, 0002, 0.80344, 4.8447395
92521336, 0xAAAA, 29606, 0003, 0.81714, 4.8591592
92524469, 0xAAAA, 29607, 0003, 0.80103, 4.8410773
92527586, 0xAAAA, 29608, 0004, 1.20073, 4.8438239
92530702, 0xAAAA, 29609, 0004, 1.19993, 4.8514534
92533827, 0xAAAA, 29610, 0005, 1.59963, 4.8405432
92536952, 0xAAAA, 29611, 0005, 1.59963, 4.8634318
92540083, 0xAAAA, 29612, 0006, 1.99692, 4.8394751
92543209, 0xAAAA, 29613, 0006, 2.39985, 4.8506142
92546327, 0xAAAA, 29614, 0007, 2.39179, 4.8515297
92549452, 0xAAAA, 29615, 0007, 2.39341, 4.8413062
92552581, 0xAAAA, 29616, 0007, 2.58117, 4.8621347
92555713, 0xAAAA, 29617, 0007, 2.58198, 4.8377966
92558838, 0xAAAA, 29618, 0006, 2.58117, 4.8612955
92561963, 0xAAAA, 29619, 0006, 2.58117, 4.8511482
92565094, 0xAAAA, 29620, 0005, 2.39260, 4.8472572
92568220, 0xAAAA, 29621, 0005, 2.39663, 4.8564889
92571349, 0xAAAA, 29622, 0004, 1.99612, 4.8381781
92574452, 0xAAAA, 29623, 0004, 1.99692, 4.8622873
92577577, 0xAAAA, 29624, 0003, 1.59883, 4.8539712
92580702, 0xAAAA, 29625, 0003, 1.59963, 4.8412299
92583827, 0xAAAA, 29626, 0002, 1.20073, 4.8553445
92586952, 0xAAAA, 29627, 0002, 0.80183, 4.8424506
92590082, 0xAAAA, 29628, 0001, 0.79377, 4.8603037
92593209, 0xAAAA, 29629, 0001, 0.80103, 4.8539712
92596327, 0xAAAA, 29630, 0000, 0.40212, 4.8502327
92599461, 0xAAAA, 29631, 0000, 0.40212, 4.8635080
92602608, 0xAAAA, 29632, 0000, 0.01853, 4.8394751
92605711, 0xAAAA, 29633, 0000, 0.01853, 4.8602274
92608843, 0xAAAA, 29634, 0001, 0.01853, 4.8567178
92611961, 0xAAAA, 29635, 0001, 0.40777, 4.8414588
92615091, 0xAAAA, 29636, 0002, 0.40696, 4.8498512
92618217, 0xAAAA, 29637, 0002, 0.40374, 4.8408484
92621327, 0xAAAA, 29638, 0003, 0.80264, 4.8503853
92624452, 0xAAAA, 29639, 0003, 0.80183, 4.8522164
92627577, 0xAAAA, 29640, 0004, 1.20154, 4.8419928
92630702, 0xAAAA, 29641, 0004, 1.20476, 4.8634318
92633827, 0xAAAA, 29642, 0005, 1.60608, 4.8446632
92636952, 0xAAAA, 29643, 0005, 1.99773, 4.8400092
92640083, 0xAAAA, 29644, 0006, 1.99692, 4.8495460
92643220, 0xAAAA, 29645, 0006, 1.99773, 4.8487831
92646338, 0xAAAA, 29646, 0007, 2.39502, 4.8550393
92649463, 0xAAAA, 29647, 0007, 2.39421, 4.8357366
92652588, 0xAAAA, 29648, 0007, 2.58359, 4.8535897
92655723, 0xAAAA, 29649, 0007, 2.58117, 4.8551919
92658838, 0xAAAA, 29650, 0006, 2.58037, 4.8332189
92661963, 0xAAAA, 29651, 0006, 2.39421, 4.8563363
92665083, 0xAAAA, 29652, 0005, 2.39421, 4.8455024
92668217, 0xAAAA, 29653, 0005, 2.39421, 4.8616770
92671327, 0xAAAA, 29654, 0004, 1.99692, 4.8496223
92674452, 0xAAAA, 29655, 0004, 1.99612, 4.8544289
92677577, 0xAAAA, 29656, 0003, 1.59480, 4.8525216
92680702, 0xAAAA, 29657, 0003, 1.59480, 4.8409247
92683827, 0xAAAA, 29658, 0002, 1.19912, 4.8580911
92686958, 0xAAAA, 29659, 0002, 0.79861, 4.8504616
92690091, 0xAAAA, 29660, 0001, 0.80183, 4.8452735
92693218, 0xAAAA, 29661, 0001, 0.80103, 4.8585489
92696336, 0xAAAA, 29662, 0000, 0.40454, 4.8447395
92699462, 0xAAAA, 29663, 0000, 0.40374, 4.8583200
92702608, 0xAAAA, 29664, 0000, 0.01531, 4.8527504
92705710, 0xAAAA, 29665, 0000, 0.01612, 4.8484779
92708827, 0xAAAA, 29666, 0001, 0.01773, 4.8508431
92711952, 0xAAAA, 29667, 0001, 0.36828, 4.8436713
92715093, 0xAAAA, 29668, 0002, 0.40293, 4.8567941
92718209, 0xAAAA, 29669, 0002, 0.40212, 4.8525216
92721327, 0xAAAA, 29670, 0003, 0.80425, 4.8507668
92724452, 0xAAAA, 29671, 0003, 0.80264, 4.8615244
92727577, 0xAAAA, 29672, 0004, 1.20073, 4.8427558
92730708, 0xAAAA, 29673, 0004, 1.20073, 4.8580911
92733838, 0xAAAA, 29674, 0005, 1.60044, 4.8500038
92736963, 0xAAAA, 29675, 0005, 1.59883, 4.8465705
92740102, 0xAAAA, 29676, 0006, 1.99692, 4.8575570
92743220, 0xAAAA, 29677, 0006, 1.99934, 4.8458076
92746339, 0xAAAA, 29678, 0007, 2.39260, 4.8535134
92749464, 0xAAAA, 29679, 0007, 2.39260, 4.8582437
92752597, 0xAAAA, 29680, 0007, 2.58117, 4.8359655
92755702, 0xAAAA, 29681, 0007, 2.58198, 4.8562600
92758827, 0xAAAA, 29682, 0006, 2.58198, 4.8462654
92761952, 0xAAAA, 29683, 0006, 2.58117, 4.8487831
92765082, 0xAAAA, 29684, 0005, 2.39421, 4.8587015
92768209, 0xAAAA, 29685, 0005, 2.39502, 4.8366522
92771327, 0xAAAA, 29686, 0004, 1.99531, 4.8577096
92774455, 0xAAAA, 29687, 0004, 1.99612, 4.8423743
92777586, 0xAAAA, 29688, 0003, 1.59883, 4.8517586
92780711, 0xAAAA, 29689, 0003, 1.19993, 4.8554971
92783836, 0xAAAA, 29690, 0002, 1.20154, 4.8448920
92786961, 0xAAAA, 29691, 0002, 1.20154, 4.8577859
92790091, 0xAAAA, 29692, 0001, 0.80183, 4.8415351
92793217, 0xAAAA, 29693, 0001, 0.80989, 4.8637369
92796327, 0xAAAA, 29694, 0000, 0.40212, 4.8583200
92799462, 0xAAAA, 29695, 0000, 0.40293, 4.8463416
92802598, 0xAAAA, 29696, 0000, 0.01853, 4.8565652
92805702, 0xAAAA, 29697, 0000, 0.01853, 4.8402380
92808827, 0xAAAA, 29698, 0001, 0.01853, 4.8482490
92811952, 0xAAAA, 29699, 0001, 0.01934, 4.8574807
92815083, 0xAAAA, 29700, 0002, 0.41099, 4.8468757
92818210, 0xAAAA, 29701, 0002, 0.40212, 4.8620584
92821338, 0xAAAA, 29702, 0003, 0.80264, 4.8377966
92824463, 0xAAAA, 29703, 0003, 0.80183, 4.8626688
92827588, 0xAAAA, 29704, 0004, 1.20154, 4.8588540
92830713, 0xAAAA, 29705, 0004, 1.60125, 4.8271153
92833838, 0xAAAA, 29706, 0005, 1.59963, 4.8547341
92836972, 0xAAAA, 29707, 0005, 1.60447, 4.8460365
92840093, 0xAAAA, 29708, 0006, 1.99612, 4.8557259
92843209, 0xAAAA, 29709, 0006, 1.99853, 4.8516060
92846327, 0xAAAA, 29710, 0007, 2.39502, 4.8373388
92849452, 0xAAAA, 29711, 0007, 2.39663, 4.8638895
92852577, 0xAAAA, 29712, 0007, 2.58117, 4.8492409
92855702, 0xAAAA, 29713, 0007, 2.58037, 4.8432898
92858827, 0xAAAA, 29714, 0006, 2.58359, 4.8549630
92861952, 0xAAAA, 29715, 0006, 2.58198, 4.8492409
92865091, 0xAAAA, 29716, 0005, 2.39502, 4.8587015
92868217, 0xAAAA, 29717, 0005, 2.39502, 4.8448157
92871336, 0xAAAA, 29718, 0004, 1.99612, 4.8546578
92874461, 0xAAAA, 29719, 0004, 1.99773, 4.8599222
92877587, 0xAAAA, 29720, 0003, 1.59883, 4.8430610
92880710, 0xAAAA, 29721, 0003, 1.59641, 4.8535134
92883846, 0xAAAA, 29722, 0002, 1.19912, 4.8409247
92886952, 0xAAAA, 29723, 0002, 1.19993, 4.8587015
92890082, 0xAAAA, 29724, 0001, 0.80022, 4.8611429
92893209, 0xAAAA, 29725, 0001, 0.80183, 4.8384070
92896328, 0xAAAA, 29726, 0000, 0.40293, 4.8560311
92899452, 0xAAAA, 29727, 0000, 0.01853, 4.8455787
92902599, 0xAAAA, 29728, 0000, 0.02418, 4.8509957
92905702, 0xAAAA, 29729, 0000, 0.01773, 4.8617533
92908836, 0xAAAA, 29730, 0001, 0.01773, 4.8497749
92911963, 0xAAAA, 29731, 0001, 0.01853, 4.8554971
92915093, 0xAAAA, 29732, 0002, 0.40293, 4.8432898
92918220, 0xAAAA, 29733, 0002, 0.40374, 4.8590829
92921347, 0xAAAA, 29734, 0003, 0.80264, 4.8610666
92924464, 0xAAAA, 29735, 0003, 1.19993, 4.8329137
92927588, 0xAAAA, 29736, 0004, 1.19912, 4.8580911
92930702, 0xAAAA, 29737, 0004, 1.19993, 4.8422980
92933827, 0xAAAA, 29738, 0005, 1.59883, 4.8506142
92936952, 0xAAAA, 29739, 0005, 1.59802, 4.8575570
92940083, 0xAAAA, 29740, 0006, 1.99773, 4.8445106
92943209, 0xAAAA, 29741, 0006, 1.99853, 4.8545815
92946327, 0xAAAA, 29742, 0007, 2.40147, 4.8390173
92949453, 0xAAAA, 29743, 0007, 2.58037, 4.8550393
92952582, 0xAAAA, 29744, 0007, 2.58198, 4.8569467
92955710, 0xAAAA, 29745, 0007, 2.58037, 4.8350500
92958836, 0xAAAA, 29746, 0006, 2.57956, 4.8596170
92961961, 0xAAAA, 29747, 0006, 2.58278, 4.8474861
92965091, 0xAAAA, 29748, 0005, 2.39421, 4.8466468
92968228, 0xAAAA, 29749, 0005, 2.40066, 4.8605325
92971336, 0xAAAA, 29750, 0004, 1.99692, 4.8410773
92974452, 0xAAAA, 29751, 0004, 1.59641, 4.8511482
92977577, 0xAAAA, 29752, 0003, 1.59883, 4.8446632
92980710, 0xAAAA, 29753, 0003, 1.60044, 4.8484016
92983827, 0xAAAA, 29754, 0002, 1.19912, 4.8612192
92986952, 0xAAAA, 29755, 0002, 1.20073, 4.8514534
92990082, 0xAAAA, 29756, 0001, 0.80344, 4.8509957
92993209, 0xAAAA, 29757, 0001, 0.79861, 4.8468757
92996333, 0xAAAA, 29758, 0000, 0.40132, 4.8471046
92999463, 0xAAAA, 29759, 0000, 0.01692, 4.8591592
93002611, 0xAAAA, 29760, 0000, 0.01853, 4.8435950
93005721, 0xAAAA, 29761, 0000, 0.02015, 4.8525978
93008838, 0xAAAA, 29762, 0001, 0.02176, 4.8463416
93011963, 0xAAAA, 29763, 0001, 0.01612, 4.8517586
93015093, 0xAAAA, 29764, 0002, 0.40293, 4.8655680
93018220, 0xAAAA, 29765, 0002, 0.40132, 4.8473335
93021327, 0xAAAA, 29766, 0003, 0.80183, 4.8608377
93024452, 0xAAAA, 29767, 0003, 1.20718, 4.8448157
93027577, 0xAAAA, 29768, 0004, 1.20073, 4.8447395
93030702, 0xAAAA, 29769, 0004, 1.20073, 4.8633555
93033827, 0xAAAA, 29770, 0005, 1.59641, 4.8449683
93036952, 0xAAAA, 29771, 0005, 1.59722, 4.8580911
93040082, 0xAAAA, 29772, 0006, 1.99692, 4.8483253
93043217, 0xAAAA, 29773, 0006, 1.99773, 4.8590066
93046336, 0xAAAA, 29774, 0007, 2.39582, 4.8591592
93049461, 0xAAAA, 29775, 0007, 2.39744, 4.8407721
93052596, 0xAAAA, 29776, 0007, 2.58198, 4.8582437
93055710, 0xAAAA, 29777, 0007, 2.58681, 4.8466468
93058835, 0xAAAA, 29778, 0006, 2.58037, 4.8489357
93061952, 0xAAAA, 29779, 0006, 2.58198, 4.8607614
93065099, 0xAAAA, 29780, 0005, 2.39421, 4.8493935
93068209, 0xAAAA, 29781, 0005, 1.99612, 4.8554971
93071327, 0xAAAA, 29782, 0004, 1.99692, 4.8462654
93074452, 0xAAAA, 29783, 0004, 1.99692, 4.8439002
93077577, 0xAAAA, 29784, 0003, 1.60689, 4.8623636
93080702, 0xAAAA, 29785, 0003, 1.59802, 4.8520638
93083827, 0xAAAA, 29786, 0002, 1.19993, 4.8589303
93086963, 0xAAAA, 29787, 0002, 1.20073, 4.8495460
93090094, 0xAAAA, 29788, 0001, 0.80103, 4.8460365
93093220, 0xAAAA, 29789, 0001, 0.40212, 4.8619059
93096339, 0xAAAA, 29790, 0000, 0.40051, 4.8445106
93099463, 0xAAAA, 29791, 0000, 0.40777, 4.8545815
93102610, 0xAAAA, 29792, 0000, 0.01451, 4.8517586
93105713, 0xAAAA, 29793, 0000, 0.01773, 4.8365759
93108827, 0xAAAA, 29794, 0001, 0.01934, 4.8621347
93111963, 0xAAAA, 29795, 0001, 0.01853, 4.8360418
93115083, 0xAAAA, 29796, 0002, 0.40374, 4.8586252
93118209, 0xAAAA, 29797, 0002, 0.80425, 4.8563363
93121327, 0xAAAA, 29798, 0003, 0.80183, 4.8423743
93124452, 0xAAAA, 29799, 0003, 0.80183, 4.8603037
93127577, 0xAAAA, 29800, 0004, 1.20073, 4.8384833
93130709, 0xAAAA, 29801, 0004, 1.20073, 4.8586252
93133836, 0xAAAA, 29802, 0005, 1.59883, 4.8551156
93136963, 0xAAAA, 29803, 0005, 1.59963, 4.8339055
93140092, 0xAAAA, 29804, 0006, 1.99773, 4.8623636
93143218, 0xAAAA, 29805, 0006, 2.39582, 4.8465705
93146337, 0xAAAA, 29806, 0007, 2.39421, 4.8664836
93149469, 0xAAAA, 29807, 0007, 2.39582, 4.8570230
93152577, 0xAAAA, 29808, 0007, 2.58037, 4.8374914
93155702, 0xAAAA, 29809, 0007, 2.58117, 4.8632029
93158827, 0xAAAA, 29810, 0006, 2.58359, 4.8426795
93161952, 0xAAAA, 29811, 0006, 2.58117, 4.8638132
93165083, 0xAAAA, 29812, 0005, 2.39179, 4.8532845
93168209, 0xAAAA, 29813, 0005, 1.99451, 4.8310063
93171327, 0xAAAA, 29814, 0004, 1.99612, 4.8648814
93174460, 0xAAAA, 29815, 0004, 1.99692, 4.8489357
93177588, 0xAAAA, 29816, 0003, 1.59883, 4.8485542
93180713, 0xAAAA, 29817, 0003, 1.59883, 4.8494697
93183838, 0xAAAA, 29818, 0002, 1.19993, 4.8387121
93186963, 0xAAAA, 29819, 0002, 1.20154, 4.8635080
