uptime, sync, seq, SWPMON, temp1, adc
6875210, 0xAAAA, 0045, 0.00000, 0.50608, 0.0000000
6878336, 0xAAAA, 0046, 0.00000, 0.48755, 0.0000000
6881467, 0xAAAA, 0047, 0.00000, 0.49560, 0.0000000
6884608, 0xAAAA, 0048, 0.00000, 0.50205, 0.0000000
6887705, 0xAAAA, 0049, 0.00000, 0.49883, 0.0000000
6890829, 0xAAAA, 0050, 0.00000, 0.49238, 0.0000000
6893966, 0xAAAA, 0051, 0.00000, 0.48996, 0.0000000
6897087, 0xAAAA, 0052, 0.00000, 0.49802, 0.0000000
6900214, 0xAAAA, 0053, 0.00000, 0.50286, 0.0000000
6903346, 0xAAAA, 0054, 0.00000, 0.49077, 0.0000000
6906454, 0xAAAA, 0055, 0.00000, 0.49399, 0.0000000
6909579, 0xAAAA, 0056, 0.00000, 0.50125, 0.0000000
6912726, 0xAAAA, 0057, 0.00000, 0.49883, 0.0000000
6915825, 0xAAAA, 0058, 0.00000, 0.50286, 0.0000000
6918950, 0xAAAA, 0059, 0.00000, 0.48916, 0.0000000
6922085, 0xAAAA, 0060, 0.00000, 0.49641, 0.0000000
6925212, 0xAAAA, 0061, 0.00000, 0.50286, 0.0000000
6928326, 0xAAAA, 0062, 0.00000, 0.48755, 0.0000000
6931462, 0xAAAA, 0063, 0.00000, 0.49399, 0.0000000
6934576, 0xAAAA, 0064, 0.00000, 0.49319, 0.0000000
6937700, 0xAAAA, 0065, 0.00000, 0.50125, 0.0000000
6940826, 0xAAAA, 0066, 0.00000, 0.49963, 0.0000000
6943955, 0xAAAA, 0067, 0.00000, 0.49158, 0.0000000
6947099, 0xAAAA, 0068, 0.00000, 0.48835, 0.0000000
6950226, 0xAAAA, 0069, 0.00000, 0.49883, 0.0000000
6953330, 0xAAAA, 0070, 0.00000, 0.50044, 0.0000000
6956470, 0xAAAA, 0071, 0.00000, 0.48996, 0.0000000
6959578, 0xAAAA, 0072, 0.00000, 0.49722, 0.0000000
6962704, 0xAAAA, 0073, 0.00000, 0.50286, 0.0000000
6965830, 0xAAAA, 0074, 0.00000, 0.50205, 0.0000000
6968954, 0xAAAA, 0075, 0.00000, 0.49077, 0.0000000
6972087, 0xAAAA, 0076, 0.00000, 0.49560, 0.0000000
6975228, 0xAAAA, 0077, 0.00000, 0.50205, 0.0000000
6978337, 0xAAAA, 0078, 0.00000, 0.49883, 0.0000000
6981467, 0xAAAA, 0079, 0.00000, 0.49319, 0.0000000
6984604, 0xAAAA, 0080, 0.00000, 0.49238, 0.0000000
6987700, 0xAAAA, 0081, 0.00000, 0.50044, 0.0000000
6990825, 0xAAAA, 0082, 0.00000, 0.50286, 0.0000000
6993965, 0xAAAA, 0083, 0.00000, 0.48996, 0.0000000
6997084, 0xAAAA, 0084, 0.00000, 0.49802, 0.0000000
7000211, 0xAAAA, 0085, 0.00000, 0.50205, 0.0000000
7003338, 0xAAAA, 0086, 0.00000, 0.50286, 0.0000000
7006450, 0xAAAA, 0087, 0.00000, 0.48835, 0.0000000
7009576, 0xAAAA, 0088, 0.00000, 0.49641, 0.0000000
7012714, 0xAAAA, 0089, 0.00000, 0.50286, 0.0000000
7015843, 0xAAAA, 0090, 0.00081, 0.49238, 0.0000000
7018954, 0xAAAA, 0091, 0.00000, 0.49722, 0.0000000
7022087, 0xAAAA, 0092, 0.00000, 0.49158, 0.0000000
7025214, 0xAAAA, 0093, 0.00000, 0.49883, 0.0000000
7028330, 0xAAAA, 0094, 0.00000, 0.50286, 0.0000000
7031454, 0xAAAA, 0095, 0.00000, 0.48835, 0.0000000
7034579, 0xAAAA, 0096, 0.00000, 0.49641, 0.0000000
7037704, 0xAAAA, 0097, 0.00000, 0.49641, 0.0000000
7040829, 0xAAAA, 0098, 0.00000, 0.50286, 0.0000000
7043956, 0xAAAA, 0099, 0.00000, 0.48916, 0.0000000
