uptime, sync, seq, step, SWPMON, temp1, adc
45236527, 0xAAAA, 8461, 0006, 1.97114, 1.90264, 0.0000000
45239652, 0xAAAA, 8462, 0007, 2.36278, 1.90344, 0.0000000
45242776, 0xAAAA, 8463, 0007, 2.55055, 1.90344, 0.0000000
45245901, 0xAAAA, 8464, 0007, 2.54974, 1.90505, 0.0000000
45249077, 0xAAAA, 8465, 0007, 2.54894, 1.90344, 0.0000000
45252229, 0xAAAA, 8466, 0006, 2.54894, 1.90425, 0.0000000
45255301, 0xAAAA, 8467, 0006, 2.54974, 1.91231, 0.0000000
45258434, 0xAAAA, 8468, 0005, 2.35553, 1.90425, 0.0000000
45261529, 0xAAAA, 8469, 0005, 2.02432, 1.90425, 0.0000000
45264655, 0xAAAA, 8470, 0004, 1.97114, 1.90425, 0.0000000
45267792, 0xAAAA, 8471, 0004, 1.97114, 1.90425, 0.0000000
45271257, 0xAAAA, 8472, 0003, 1.57626, 1.90425, 0.0000000
45274049, 0xAAAA, 8473, 0003, 1.57626, 1.90425, 0.0000000
45277231, 0xAAAA, 8474, 0002, 1.16366, 1.90425, 0.0000000
45280288, 0xAAAA, 8475, 0002, 0.77766, 1.90425, 0.0000000
45283404, 0xAAAA, 8476, 0001, 0.78652, 1.90425, 0.0000000
45286553, 0xAAAA, 8477, 0001, 0.78813, 1.90425, 0.0000000
45289650, 0xAAAA, 8478, 0000, 0.39084, 1.90425, 0.0000000
45292775, 0xAAAA, 8479, 0000, 0.39004, 1.90425, 0.0000000
45295901, 0xAAAA, 8480, 0000, 0.01128, 1.90505, 0.0000000
45299046, 0xAAAA, 8481, 0000, 0.01209, 1.90425, 0.0000000
45302231, 0xAAAA, 8482, 0001, 0.01209, 1.90828, 0.0000000
45305297, 0xAAAA, 8483, 0001, 0.01128, 1.90425, 0.0000000
45308402, 0xAAAA, 8484, 0002, 0.39165, 1.90425, 0.0000000
45311526, 0xAAAA, 8485, 0002, 0.39084, 1.90425, 0.0000000
45314651, 0xAAAA, 8486, 0003, 0.79619, 1.90425, 0.0000000
45317781, 0xAAAA, 8487, 0003, 1.18059, 1.90425, 0.0000000
45320917, 0xAAAA, 8488, 0004, 1.18139, 1.90103, 0.0000000
45324062, 0xAAAA, 8489, 0004, 1.18220, 1.90344, 0.0000000
45327229, 0xAAAA, 8490, 0005, 1.57626, 1.90344, 0.0000000
45330303, 0xAAAA, 8491, 0005, 1.57626, 1.90344, 0.0000000
45333730, 0xAAAA, 8492, 0006, 1.97114, 1.90344, 0.0000000
45336530, 0xAAAA, 8493, 0006, 2.36440, 1.90344, 0.0000000
45339655, 0xAAAA, 8494, 0007, 2.36440, 1.90264, 0.0000000
45342779, 0xAAAA, 8495, 0007, 2.36037, 1.90344, 0.0000000
45345904, 0xAAAA, 8496, 0007, 2.52879, 1.90344, 0.0000000
45349164, 0xAAAA, 8497, 0007, 2.54974, 1.90425, 0.0000000
45352228, 0xAAAA, 8498, 0006, 2.54974, 1.90344, 0.0000000
45355302, 0xAAAA, 8499, 0006, 2.36278, 1.90344, 0.0000000
45358431, 0xAAAA, 8500, 0005, 2.35956, 1.90425, 0.0000000
45361526, 0xAAAA, 8501, 0005, 2.36440, 1.90425, 0.0000000
45364652, 0xAAAA, 8502, 0004, 1.93326, 1.90425, 0.0000000
45367790, 0xAAAA, 8503, 0004, 1.57707, 1.90505, 0.0000000
45370901, 0xAAAA, 8504, 0003, 1.51744, 1.90425, 0.0000000
45374045, 0xAAAA, 8505, 0003, 1.14110, 1.90425, 0.0000000
45377225, 0xAAAA, 8506, 0002, 1.18703, 1.90425, 0.0000000
45380285, 0xAAAA, 8507, 0002, 1.18542, 1.90425, 0.0000000
45383404, 0xAAAA, 8508, 0001, 0.78571, 1.90425, 0.0000000
45386540, 0xAAAA, 8509, 0001, 0.39165, 1.90425, 0.0000000
45389668, 0xAAAA, 8510, 0000, 0.37392, 1.90586, 0.0000000
45392778, 0xAAAA, 8511, 0000, 0.00967, 1.90747, 0.0000000
45396244, 0xAAAA, 8512, 0000, 0.01128, 1.90425, 0.0000000
45399048, 0xAAAA, 8513, 0000, 0.01289, 1.90505, 0.0000000
45402245, 0xAAAA, 8514, 0001, 0.01128, 1.90425, 0.0000000
45405289, 0xAAAA, 8515, 0001, 0.39165, 1.90505, 0.0000000
45408405, 0xAAAA, 8516, 0002, 0.39165, 1.90425, 0.0000000
45411529, 0xAAAA, 8517, 0002, 0.39648, 1.90344, 0.0000000
45414655, 0xAAAA, 8518, 0003, 0.78168, 1.90425, 0.0000000
45417782, 0xAAAA, 8519, 0003, 0.78894, 1.90425, 0.0000000
45420932, 0xAAAA, 8520, 0004, 1.18220, 1.90344, 0.0000000
45424061, 0xAAAA, 8521, 0004, 1.57707, 1.90344, 0.0000000
45427230, 0xAAAA, 8522, 0005, 1.57546, 1.90344, 0.0000000
45430298, 0xAAAA, 8523, 0005, 1.57707, 1.90344, 0.0000000
45433401, 0xAAAA, 8524, 0006, 1.97194, 1.90344, 0.0000000
45436527, 0xAAAA, 8525, 0006, 1.97194, 1.90264, 0.0000000
45439667, 0xAAAA, 8526, 0007, 2.36520, 1.90344, 0.0000000
45442776, 0xAAAA, 8527, 0007, 2.54813, 1.90344, 0.0000000
45445901, 0xAAAA, 8528, 0007, 2.53927, 1.90344, 0.0000000
45449089, 0xAAAA, 8529, 0007, 2.49092, 1.90344, 0.0000000
45452229, 0xAAAA, 8530, 0006, 2.54974, 1.90425, 0.0000000
45455302, 0xAAAA, 8531, 0006, 2.54894, 1.90344, 0.0000000
45458744, 0xAAAA, 8532, 0005, 2.36601, 1.90425, 0.0000000
45461529, 0xAAAA, 8533, 0005, 1.97436, 1.90425, 0.0000000
45464655, 0xAAAA, 8534, 0004, 1.95663, 1.90667, 0.0000000
45467791, 0xAAAA, 8535, 0004, 1.97597, 1.90425, 0.0000000
45470904, 0xAAAA, 8536, 0003, 1.55451, 1.90425, 0.0000000
45474049, 0xAAAA, 8537, 0003, 1.57626, 1.90425, 0.0000000
45477218, 0xAAAA, 8538, 0002, 1.17897, 1.90425, 0.0000000
45480288, 0xAAAA, 8539, 0002, 0.78733, 1.90425, 0.0000000
45483405, 0xAAAA, 8540, 0001, 0.78974, 1.90183, 0.0000000
45486542, 0xAAAA, 8541, 0001, 0.78652, 1.90425, 0.0000000
45489650, 0xAAAA, 8542, 0000, 0.40938, 1.90425, 0.0000000
45492790, 0xAAAA, 8543, 0000, 0.39165, 1.90425, 0.0000000
45495900, 0xAAAA, 8544, 0000, 0.01128, 1.90505, 0.0000000
45499045, 0xAAAA, 8545, 0000, 0.01451, 1.90425, 0.0000000
45502243, 0xAAAA, 8546, 0001, 0.01048, 1.90425, 0.0000000
45505287, 0xAAAA, 8547, 0001, 0.01128, 1.90425, 0.0000000
45508402, 0xAAAA, 8548, 0002, 0.39165, 1.90425, 0.0000000
45511541, 0xAAAA, 8549, 0002, 0.37875, 1.90425, 0.0000000
45514651, 0xAAAA, 8550, 0003, 0.78652, 1.90344, 0.0000000
45517783, 0xAAAA, 8551, 0003, 1.18220, 1.90425, 0.0000000
45521256, 0xAAAA, 8552, 0004, 1.18139, 1.90344, 0.0000000
45524062, 0xAAAA, 8553, 0004, 1.18139, 1.90344, 0.0000000
45527230, 0xAAAA, 8554, 0005, 1.57707, 1.90344, 0.0000000
45530298, 0xAAAA, 8555, 0005, 1.97114, 1.90425, 0.0000000
45533405, 0xAAAA, 8556, 0006, 1.97194, 1.90344, 0.0000000
45536530, 0xAAAA, 8557, 0006, 2.36440, 1.90344, 0.0000000
45539667, 0xAAAA, 8558, 0007, 2.36440, 1.90344, 0.0000000
