date, time, sync, seq, endMon, SWPMON, temp1, temp2, adc
05-30-2024, 13:18:44:927, 0xAAAA, 42255, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:927, 0xAAAA, 42256, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:927, 0xAAAA, 42257, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42258, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42259, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42260, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42261, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42262, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42263, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42264, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42265, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42266, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42267, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:954, 0xAAAA, 42268, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42269, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42270, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42271, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42272, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42273, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42274, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42275, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42276, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42277, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:982, 0xAAAA, 42278, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:10, 0xAAAA, 42279, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:10, 0xAAAA, 42280, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:10, 0xAAAA, 42281, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:10, 0xAAAA, 42282, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:10, 0xAAAA, 42283, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42284, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42285, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42286, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42287, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42288, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42289, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42290, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42291, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42292, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:39, 0xAAAA, 42293, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:45:66, 0xAAAA, 42294, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
