sync, uptime, seq, step, SWPMON, adc
0xEEEE, 9396047, 3006, 0000, 0.39245, 4.8580148
0xEEEE, 9399151, 3007, 0000, 0.39326, 4.8486305
0xEEEE, 9402286, 3008, 0000, 0.01209, 4.8564126
0xEEEE, 9405411, 3009, 0000, 0.01128, 4.8616007
0xEEEE, 9408536, 3010, 0001, 0.01289, 4.8569467
0xEEEE, 9411662, 3011, 0001, 0.38842, 4.8570230
0xEEEE, 9414787, 3012, 0002, 0.39245, 4.8512245
0xEEEE, 9417919, 3013, 0002, 0.39890, 4.8636606
0xEEEE, 9421064, 3014, 0003, 0.82359, 4.8571756
0xEEEE, 9424153, 3015, 0003, 0.78733, 4.8480964
0xEEEE, 9427276, 3016, 0004, 1.18220, 4.8558022
0xEEEE, 9430402, 3017, 0004, 1.18542, 4.8570993
0xEEEE, 9433527, 3018, 0005, 1.57626, 4.8530556
0xEEEE, 9436652, 3019, 0005, 1.57868, 4.8496986
0xEEEE, 9439788, 3020, 0006, 1.97275, 4.8566415
0xEEEE, 9442909, 3021, 0006, 1.98000, 4.8621347
0xEEEE, 9446045, 3022, 0007, 2.36440, 4.8496986
0xEEEE, 9449163, 3023, 0007, 2.35956, 4.8491646
0xEEEE, 9452296, 3024, 0007, 2.55377, 4.8632792
0xEEEE, 9455413, 3025, 0007, 2.55377, 4.8603799
0xEEEE, 9458539, 3026, 0006, 2.55136, 4.8576333
0xEEEE, 9461663, 3027, 0006, 2.59971, 4.8453498
0xEEEE, 9464788, 3028, 0005, 2.36681, 4.8574044
0xEEEE, 9467928, 3029, 0005, 2.36601, 4.8582437
0xEEEE, 9471043, 3030, 0004, 1.96066, 4.8482490
0xEEEE, 9474161, 3031, 0004, 1.97194, 4.8519112
0xEEEE, 9477292, 3032, 0003, 1.58513, 4.8606851
0xEEEE, 9480412, 3033, 0003, 1.18220, 4.8464942
0xEEEE, 9483536, 3034, 0002, 1.18139, 4.8517586
0xEEEE, 9486660, 3035, 0002, 1.16689, 4.8581674
0xEEEE, 9489777, 3036, 0001, 0.82278, 4.8625925
0xEEEE, 9492909, 3037, 0001, 0.78813, 4.8490120
0xEEEE, 9496035, 3038, 0000, 0.39245, 4.8451972
0xEEEE, 9499151, 3039, 0000, 0.39326, 4.8590066
0xEEEE, 9502278, 3040, 0000, 0.01128, 4.8593118
0xEEEE, 9505401, 3041, 0000, 0.01128, 4.8490120
0xEEEE, 9508526, 3042, 0001, 0.01209, 4.8478676
0xEEEE, 9511658, 3043, 0001, 0.01209, 4.8588540
0xEEEE, 9514788, 3044, 0002, 0.40454, 4.8488594
0xEEEE, 9517920, 3045, 0002, 0.39810, 4.8502327
0xEEEE, 9521065, 3046, 0003, 0.78733, 4.8585489
0xEEEE, 9524172, 3047, 0003, 0.78894, 4.8622873
0xEEEE, 9527288, 3048, 0004, 1.18300, 4.8478676
0xEEEE, 9530413, 3049, 0004, 1.57868, 4.8406958
0xEEEE, 9533530, 3050, 0005, 1.57707, 4.8583200
0xEEEE, 9536669, 3051, 0005, 1.54967, 4.8635080
0xEEEE, 9539786, 3052, 0006, 1.97436, 4.8548867
0xEEEE, 9542918, 3053, 0006, 1.99128, 4.8542000
0xEEEE, 9546043, 3054, 0007, 2.36037, 4.8549630
0xEEEE, 9549161, 3055, 0007, 2.36601, 4.8625925
0xEEEE, 9552286, 3056, 0007, 2.57634, 4.8513771
0xEEEE, 9555401, 3057, 0007, 2.54571, 4.8554971
0xEEEE, 9558526, 3058, 0006, 2.54974, 4.8612955
0xEEEE, 9561651, 3059, 0006, 2.54974, 4.8551919
0xEEEE, 9564778, 3060, 0005, 2.33055, 4.8477150
0xEEEE, 9567909, 3061, 0005, 2.36681, 4.8522164
0xEEEE, 9571036, 3062, 0004, 1.97194, 4.8657969
0xEEEE, 9574152, 3063, 0004, 1.97275, 4.8498512
0xEEEE, 9577280, 3064, 0003, 1.51260, 4.8517586
0xEEEE, 9580413, 3065, 0003, 1.18059, 4.8542763
0xEEEE, 9583548, 3066, 0002, 1.18139, 4.8602274
0xEEEE, 9586663, 3067, 0002, 1.18220, 4.8568704
0xEEEE, 9589789, 3068, 0001, 0.78894, 4.8596170
0xEEEE, 9592921, 3069, 0001, 0.78733, 4.8570993
0xEEEE, 9596046, 3070, 0000, 0.39648, 4.8502327
0xEEEE, 9599152, 3071, 0000, 0.39648, 4.8475624
0xEEEE, 9602286, 3072, 0000, 0.01128, 4.8544289
0xEEEE, 9605411, 3073, 0000, 0.01128, 4.8599222
0xEEEE, 9608544, 3074, 0001, 0.01209, 4.8585489
0xEEEE, 9611662, 3075, 0001, 0.01128, 4.8525216
0xEEEE, 9614787, 3076, 0002, 0.39245, 4.8540475
0xEEEE, 9617919, 3077, 0002, 0.39084, 4.8617533
0xEEEE, 9621073, 3078, 0003, 0.78733, 4.8590066
0xEEEE, 9624153, 3079, 0003, 1.18945, 4.8500801
0xEEEE, 9627278, 3080, 0004, 1.14593, 4.8539712
0xEEEE, 9630401, 3081, 0004, 1.18220, 4.8567178
0xEEEE, 9633526, 3082, 0005, 1.57626, 4.8467231
0xEEEE, 9636651, 3083, 0005, 1.57707, 4.8485542
0xEEEE, 9639777, 3084, 0006, 1.98000, 4.8603799
0xEEEE, 9642909, 3085, 0006, 1.97355, 4.8521401
0xEEEE, 9646045, 3086, 0007, 2.36037, 4.8525978
0xEEEE, 9649163, 3087, 0007, 2.54652, 4.8487831
0xEEEE, 9652288, 3088, 0007, 2.54974, 4.8619059
0xEEEE, 9655414, 3089, 0007, 2.53524, 4.8511482
0xEEEE, 9658539, 3090, 0006, 2.55136, 4.8469520
0xEEEE, 9661663, 3091, 0006, 2.55055, 4.8516060
0xEEEE, 9664788, 3092, 0005, 2.36601, 4.8594644
0xEEEE, 9667941, 3093, 0005, 2.36681, 4.8489357
0xEEEE, 9671043, 3094, 0004, 1.97194, 4.8504616
0xEEEE, 9674161, 3095, 0004, 1.58432, 4.8602274
0xEEEE, 9677287, 3096, 0003, 1.57788, 4.8558022
0xEEEE, 9680412, 3097, 0003, 1.58513, 4.8457313
0xEEEE, 9683535, 3098, 0002, 1.15399, 4.8516060
0xEEEE, 9686661, 3099, 0002, 1.18300, 4.8593881
0xEEEE, 9689778, 3100, 0001, 0.78410, 4.8615244
0xEEEE, 9692910, 3101, 0001, 0.77927, 4.8482490
0xEEEE, 9696035, 3102, 0000, 0.43678, 4.8481727
0xEEEE, 9699151, 3103, 0000, 0.01209, 4.8625925
0xEEEE, 9702277, 3104, 0000, 0.01289, 4.8600748
0xEEEE, 9705411, 3105, 0000, 0.01209, 4.8556497
0xEEEE, 9708526, 3106, 0001, 0.01128, 4.8536660
0xEEEE, 9711660, 3107, 0001, 0.01289, 4.8572519
0xEEEE, 9714788, 3108, 0002, 0.39326, 4.8547341
0xEEEE, 9717920, 3109, 0002, 0.39084, 4.8575570
0xEEEE, 9721065, 3110, 0003, 0.78330, 4.8600748
0xEEEE, 9724164, 3111, 0003, 1.22330, 4.8569467
0xEEEE, 9727288, 3112, 0004, 1.18300, 4.8497749
0xEEEE, 9730413, 3113, 0004, 1.18220, 4.8480964
0xEEEE, 9733532, 3114, 0005, 1.57788, 4.8588540
0xEEEE, 9736661, 3115, 0005, 1.57707, 4.8639658
0xEEEE, 9739786, 3116, 0006, 1.97275, 4.8514534
0xEEEE, 9742918, 3117, 0006, 1.97275, 4.8478676
0xEEEE, 9746043, 3118, 0007, 2.36440, 4.8573281
0xEEEE, 9749161, 3119, 0007, 2.36278, 4.8447395
0xEEEE, 9752297, 3120, 0007, 2.55136, 4.8526741
0xEEEE, 9755401, 3121, 0007, 2.55055, 4.8567178
0xEEEE, 9758526, 3122, 0006, 2.55055, 4.8588540
0xEEEE, 9761652, 3123, 0006, 2.55055, 4.8443580
0xEEEE, 9764776, 3124, 0005, 2.36520, 4.8504616
0xEEEE, 9767909, 3125, 0005, 1.97275, 4.8589303
0xEEEE, 9771037, 3126, 0004, 1.97355, 4.8636606
0xEEEE, 9774151, 3127, 0004, 1.97194, 4.8529793
0xEEEE, 9777282, 3128, 0003, 1.57949, 4.8495460
0xEEEE, 9780412, 3129, 0003, 1.62784, 4.8590066
0xEEEE, 9783538, 3130, 0002, 1.18300, 4.8539712
0xEEEE, 9786663, 3131, 0002, 1.18059, 4.8426795
0xEEEE, 9789795, 3132, 0001, 0.76396, 4.8514534
0xEEEE, 9792921, 3133, 0001, 0.39326, 4.8564889
0xEEEE, 9796046, 3134, 0000, 0.39245, 4.8564889
0xEEEE, 9799155, 3135, 0000, 0.39165, 4.8464942
0xEEEE, 9802286, 3136, 0000, 0.01209, 4.8562600
0xEEEE, 9805411, 3137, 0000, 0.01209, 4.8626688
0xEEEE, 9808536, 3138, 0001, 0.01209, 4.8577096
