date, time, sync, seq, adc
24-07-05, T13:16:54.457754Z, 0xBBBB, 0155, 0.0000000
24-07-05, T13:16:54.520251Z, 0xBBBB, 0156, 0.0000000
24-07-05, T13:16:54.582751Z, 0xBBBB, 0157, 0.0000000
24-07-05, T13:16:54.645257Z, 0xBBBB, 0158, 0.0000000
24-07-05, T13:16:54.707754Z, 0xBBBB, 0159, 0.0000000
24-07-05, T13:16:54.770251Z, 0xBBBB, 0160, 0.0000000
24-07-05, T13:16:54.832751Z, 0xBBBB, 0161, 0.0000000
24-07-05, T13:16:54.895254Z, 0xBBBB, 0162, 0.0000000
24-07-05, T13:16:54.957754Z, 0xBBBB, 0163, 0.0000000
24-07-05, T13:16:55.020251Z, 0xBBBB, 0164, 0.0000000
24-07-05, T13:16:55.034175Z, 0xBBBB, 0165, 0.0000000
24-07-05, T13:16:55.096681Z, 0xBBBB, 0166, 0.0000000
24-07-05, T13:16:55.159178Z, 0xBBBB, 0167, 0.0000000
24-07-05, T13:16:55.221676Z, 0xBBBB, 0168, 0.0000000
24-07-05, T13:16:55.284175Z, 0xBBBB, 0169, 0.0000000
24-07-05, T13:16:55.346675Z, 0xBBBB, 0170, 0.0000000
24-07-05, T13:16:55.409178Z, 0xBBBB, 0171, 0.0000000
24-07-05, T13:16:55.471678Z, 0xBBBB, 0172, 0.0000000
24-07-05, T13:16:55.534175Z, 0xBBBB, 0173, 0.0000000
24-07-05, T13:16:55.596675Z, 0xBBBB, 0174, 0.0000000
24-07-05, T13:16:55.659178Z, 0xBBBB, 0175, 0.0000000
24-07-05, T13:16:55.721678Z, 0xBBBB, 0176, 0.0000000
24-07-05, T13:16:55.784175Z, 0xBBBB, 0177, 0.0000000
24-07-05, T13:16:55.846675Z, 0xBBBB, 0178, 0.0000000
24-07-05, T13:16:55.909178Z, 0xBBBB, 0179, 0.0000000
24-07-05, T13:16:55.971678Z, 0xBBBB, 0180, 0.0000000
24-07-05, T13:16:56.034175Z, 0xBBBB, 0181, 0.0000000
24-07-05, T13:16:56.048099Z, 0xBBBB, 0182, 0.0000000
24-07-05, T13:16:56.110602Z, 0xBBBB, 0183, 0.0000000
24-07-05, T13:16:56.173102Z, 0xBBBB, 0184, 0.0000000
24-07-05, T13:16:56.235599Z, 0xBBBB, 0185, 0.0000000
24-07-05, T13:16:56.298099Z, 0xBBBB, 0186, 0.0000000
24-07-05, T13:16:56.360604Z, 0xBBBB, 0187, 0.0000000
24-07-05, T13:16:56.485599Z, 0xBBBB, 0189, 0.0000000
24-07-05, T13:16:56.548099Z, 0xBBBB, 0190, 0.0000000
24-07-05, T13:16:56.610602Z, 0xBBBB, 0191, 0.0000000
24-07-05, T13:16:56.673102Z, 0xBBBB, 0192, 0.0000000
24-07-05, T13:16:56.735599Z, 0xBBBB, 0193, 0.0000000
24-07-05, T13:16:56.798099Z, 0xBBBB, 0194, 0.0000000
24-07-05, T13:16:56.860605Z, 0xBBBB, 0195, 0.0000000
24-07-05, T13:16:56.923102Z, 0xBBBB, 0196, 0.0000000
