11-29-2023, 12:55:56:33, sync, seq, adc
11-29-2023, 12:56:19:606, 0xBBBB, 2145, 3.051
11-29-2023, 12:56:19:706, 0xBBBB, 2146, 3.051
11-29-2023, 12:56:19:804, 0xBBBB, 2147, 3.051
11-29-2023, 12:56:19:904, 0xBBBB, 2148, 3.051
11-29-2023, 12:56:20:32, 0xBBBB, 2149, 3.051
11-29-2023, 12:56:20:217, 0xBBBB, 2150, 3.051
11-29-2023, 12:56:20:313, 0xBBBB, 2152, 3.051
11-29-2023, 12:56:20:411, 0xBBBB, 2153, 3.051
11-29-2023, 12:56:20:510, 0xBBBB, 2154, 3.051
11-29-2023, 12:56:20:606, 0xBBBB, 2155, 3.051
11-29-2023, 12:56:20:700, 0xBBBB, 2156, 3.051
11-29-2023, 12:56:20:792, 0xBBBB, 2157, 3.051
11-29-2023, 12:56:20:921, 0xBBBB, 2158, 3.051
11-29-2023, 12:56:21:20, 0xBBBB, 2159, 3.051
11-29-2023, 12:56:21:121, 0xBBBB, 2160, 3.051
11-29-2023, 12:56:21:188, 0xBBBB, 2161, 3.051
11-29-2023, 12:56:21:309, 0xBBBB, 2162, 3.051
11-29-2023, 12:56:21:403, 0xBBBB, 2163, 3.051
11-29-2023, 12:56:21:505, 0xBBBB, 2164, 3.051
11-29-2023, 12:56:21:603, 0xBBBB, 2165, 3.051
11-29-2023, 12:56:21:703, 0xBBBB, 2166, 3.051
11-29-2023, 12:56:21:801, 0xBBBB, 2167, 3.051
11-29-2023, 12:56:21:891, 0xBBBB, 2168, 3.051
11-29-2023, 12:56:22:13, 0xBBBB, 2169, 3.051
11-29-2023, 12:56:22:111, 0xBBBB, 2170, 3.051
11-29-2023, 12:56:22:210, 0xBBBB, 2171, 3.051
11-29-2023, 12:56:22:308, 0xBBBB, 2172, 3.051
11-29-2023, 12:56:22:407, 0xBBBB, 2173, 3.051
11-29-2023, 12:56:22:498, 0xBBBB, 2174, 3.051
11-29-2023, 12:56:22:589, 0xBBBB, 2175, 3.051
11-29-2023, 12:56:22:722, 0xBBBB, 2176, 3.051
11-29-2023, 12:56:22:791, 0xBBBB, 2177, 3.051
11-29-2023, 12:56:22:889, 0xBBBB, 2178, 3.051
11-29-2023, 12:56:22:987, 0xBBBB, 2179, 3.051
11-29-2023, 12:56:23:110, 0xBBBB, 2180, 3.051
11-29-2023, 12:56:23:202, 0xBBBB, 2181, 3.051
11-29-2023, 12:56:23:300, 0xBBBB, 2182, 3.051
11-29-2023, 12:56:23:400, 0xBBBB, 2183, 3.051
11-29-2023, 12:56:23:497, 0xBBBB, 2184, 3.051
11-29-2023, 12:56:23:595, 0xBBBB, 2185, 3.051
