11-29-2023, 10:32:01:252, sync, seq, adc
11-29-2023, 10:32:37:298, 0xBBBB, 0318, 3.061
11-29-2023, 10:32:37:419, 0xBBBB, 0319, 3.061
11-29-2023, 10:32:37:510, 0xBBBB, 0320, 3.061
11-29-2023, 10:32:37:601, 0xBBBB, 0321, 3.061
11-29-2023, 10:32:37:817, 0xBBBB, 0322, 3.061
11-29-2023, 10:32:37:909, 0xBBBB, 0324, 3.061
11-29-2023, 10:32:38:1, 0xBBBB, 0325, 3.061
11-29-2023, 10:32:38:94, 0xBBBB, 0326, 3.061
11-29-2023, 10:32:38:218, 0xBBBB, 0327, 3.061
11-29-2023, 10:32:38:310, 0xBBBB, 0328, 3.063
11-29-2023, 10:32:38:402, 0xBBBB, 0329, 3.061
11-29-2023, 10:32:38:495, 0xBBBB, 0330, 3.061
11-29-2023, 10:32:38:617, 0xBBBB, 0331, 3.061
11-29-2023, 10:32:38:710, 0xBBBB, 0332, 3.061
11-29-2023, 10:32:38:802, 0xBBBB, 0333, 3.061
11-29-2023, 10:32:38:893, 0xBBBB, 0334, 3.061
11-29-2023, 10:32:38:985, 0xBBBB, 0335, 3.061
11-29-2023, 10:32:39:109, 0xBBBB, 0336, 3.061
11-29-2023, 10:32:39:205, 0xBBBB, 0337, 3.061
11-29-2023, 10:32:39:298, 0xBBBB, 0338, 3.061
11-29-2023, 10:32:39:396, 0xBBBB, 0339, 3.061
11-29-2023, 10:32:39:489, 0xBBBB, 0340, 3.061
11-29-2023, 10:32:39:613, 0xBBBB, 0341, 3.061
11-29-2023, 10:32:39:705, 0xBBBB, 0342, 3.061
11-29-2023, 10:32:39:798, 0xBBBB, 0343, 3.061
11-29-2023, 10:32:39:890, 0xBBBB, 0344, 3.061
11-29-2023, 10:32:40:106, 0xBBBB, 0345, 3.061
11-29-2023, 10:32:40:197, 0xBBBB, 0347, 3.061
11-29-2023, 10:32:40:290, 0xBBBB, 0348, 3.061
11-29-2023, 10:32:40:414, 0xBBBB, 0349, 3.061
11-29-2023, 10:32:40:507, 0xBBBB, 0350, 3.061
11-29-2023, 10:32:40:598, 0xBBBB, 0351, 3.061
