11-29-2023, 10:25:03:38, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mov, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon
11-29-2023, 10:25:14:116, 0xCCCC , 39431 , 31.701, 33.763, 4064.430, 4048.430, 3968.500, 3920.500, 26.449, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:14:235, 0xCCCC , 39431 , 31.701, 33.763, 4064.430, 4048.430, 3968.500, 3920.500, 26.449, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:14:354, 0xCCCC , 39431 , 31.701, 33.763, 4064.430, 4048.430, 3968.500, 3920.500, 26.449, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:14:591, 0xCCCC , 0352 , 0.259, 1.814, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:14:591, 0xCCCC , 0352 , 0.259, 1.814, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:14:742, 0xCCCC , 0352 , 0.259, 1.814, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:14:830, 0xCCCC , 0352 , 0.259, 1.814, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:14:979, 0xCCCC , 0352 , 0.259, 1.814, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:15:98, 0xCCCC , 44807 , 47.080, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:15:216, 0xCCCC , 44807 , 47.080, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
